task,method,sample_idx,score
qmsum,pyramidkv,11,3.785488958990536
qmsum,pyramidkv,12,7.5892857142857135
qmsum,pyramidkv,13,8.23529411764706
qmsum,pyramidkv,14,11.428571428571429
qmsum,adakv,0,5.405405405405405
qmsum,adakv,1,8.88888888888889
qmsum,adakv,2,5.5096418732782375
qmsum,adakv,3,12.903225806451612
qmsum,adakv,4,4.411764705882352
qmsum,adakv,5,7.142857142857142
qmsum,adakv,6,10.572687224669602
qmsum,adakv,7,2.564102564102564
qmsum,adakv,8,6.956521739130435
qmsum,adakv,9,6.083650190114068
qmsum,adakv,10,8.602150537634408
qmsum,adakv,11,3.785488958990536
qmsum,adakv,12,8.470588235294118
qmsum,adakv,13,8.23529411764706
qmsum,adakv,14,11.428571428571429
qmsum,streaming,0,5.673758865248227
qmsum,streaming,1,13.422818791946309
qmsum,streaming,2,5.172413793103448
qmsum,streaming,3,9.777777777777779
qmsum,streaming,4,4.145077720207254
qmsum,streaming,5,10.218978102189782
qmsum,streaming,6,7.303370786516854
qmsum,streaming,7,1.98019801980198
qmsum,streaming,8,2.711864406779661
qmsum,streaming,9,6.41025641025641
qmsum,streaming,10,8.620689655172413
qmsum,streaming,11,2.93398533007335
qmsum,streaming,12,10.256410256410255
qmsum,streaming,13,8.000000000000002
qmsum,streaming,14,9.777777777777777
qmsum,ours,0,7.282913165266107
qmsum,ours,1,7.909604519774012
qmsum,ours,2,5.714285714285714
qmsum,ours,3,14.634146341463417
qmsum,ours,4,6.0060060060060065
qmsum,ours,5,5.825242718446601
qmsum,ours,6,8.0
qmsum,ours,7,1.8518518518518516
qmsum,ours,8,5.333333333333333
qmsum,ours,9,8.383233532934131
qmsum,ours,10,5.665722379603399
qmsum,ours,11,3.0395136778115504
qmsum,ours,12,7.048458149779736
qmsum,ours,13,10.050251256281406
qmsum,ours,14,11.659192825112106
qmsum,h2o,0,4.678362573099415
qmsum,h2o,1,9.285714285714285
qmsum,h2o,2,6.944444444444444
qmsum,h2o,3,11.702127659574469
qmsum,h2o,4,3.7037037037037033
qmsum,h2o,5,5.3475935828877015
qmsum,h2o,6,9.424083769633507
qmsum,h2o,7,2.4390243902439024
qmsum,h2o,8,6.451612903225806
qmsum,h2o,9,4.929577464788732
qmsum,h2o,10,5.882352941176471
qmsum,h2o,11,3.6036036036036037
qmsum,h2o,12,8.463251670378618
qmsum,h2o,13,10.204081632653061
qmsum,h2o,14,9.09090909090909
qmsum,snapkv,0,8.0
qmsum,snapkv,1,13.496932515337424
qmsum,snapkv,2,5.882352941176471
qmsum,snapkv,3,8.30670926517572
qmsum,snapkv,4,4.137931034482759
qmsum,snapkv,5,5.245901639344262
qmsum,snapkv,6,5.513784461152882
qmsum,snapkv,7,1.5113350125944585
qmsum,snapkv,8,7.8431372549019605
qmsum,snapkv,9,0.0
qmsum,snapkv,10,7.547169811320756
qmsum,snapkv,11,4.477611940298507
qmsum,snapkv,12,7.3170731707317085
qmsum,snapkv,13,10.152284263959391
qmsum,snapkv,14,11.176470588235293
